attempt_id,frame,time_s,peak_frame,peak_y_px,shooter_ft_x,shooter_ft_y,shot_type_initial,made_initial,signal_override,shot_type_final,made_final
0,90,24.0,90,84.53,5.422,2.771,2PT,False,0,2PT,False
1,230,61.333,230,164.28,4.945,1.878,2PT,False,0,2PT,False
2,250,66.667,250,167.51,2.292,2.144,2PT,False,0,2PT,False
3,296,78.933,296,137.68,3.459,2.626,2PT,False,0,2PT,False
4,400,106.667,400,108.87,4.331,1.656,2PT,False,0,2PT,False
5,494,131.733,494,148.29,4.748,2.536,2PT,False,0,2PT,False
6,528,140.8,528,154.3,4.879,2.541,2PT,False,0,2PT,False
7,822,219.2,822,167.76,4.287,1.894,2PT,False,0,2PT,False
8,1462,389.867,1462,114.52,3.048,2.547,2PT,False,0,2PT,False
9,1615,430.667,1615,101.84,2.769,1.73,2PT,False,0,2PT,False
10,1798,479.467,1798,66.44,5.17,2.618,2PT,False,0,2PT,False
11,2010,536.0,2010,33.74,2.714,1.645,2PT,False,0,2PT,False
12,2068,551.467,2068,147.51,4.205,2.719,2PT,False,0,2PT,False
13,2074,553.067,2074,147.45,4.2,2.87,2PT,False,0,2PT,False
14,2094,558.4,2094,146.53,2.922,1.922,2PT,False,0,2PT,False
15,2150,573.333,2150,113.33,4.89,3.391,2PT,False,0,2PT,False
16,2225,593.333,2225,169.16,3.443,1.859,2PT,False,0,2PT,False
17,2640,704.0,2640,186.24,3.86,1.294,2PT,False,0,2PT,False
