signal_id,frame,time_s,signal_type,ball_frame,ball_conf,shooter_ft_x,shooter_ft_y,shot_type_initial,made_initial,shot_type_final,made_final
170,340,90.312,2,,,,,3PT,True,3PT,True
202,404,107.311,1,,,,,unknown,False,unknown,False
228,456,121.124,1,,,,,unknown,False,unknown,False
328,656,174.25,1,,,0.002,0.003,2PT,False,2PT,False
372,744,197.627,2,,,,,3PT,True,3PT,True
411,822,218.358,1,824.0,0.062954575,0.005,0.006,3PT,True,3PT,True
459,918,243.859,2,920.0,0.009065611,,,3PT,True,3PT,True
491,982,260.874,2,,,,,3PT,True,3PT,True
510,1020,270.986,1,,,0.002,0.004,2PT,False,2PT,False
695,1390,369.296,1,,,0.004,0.006,2PT,False,2PT,False
751,1502,399.046,1,,,,,unknown,False,unknown,False
832,1664,442.077,2,,,0.002,0.004,3PT,True,3PT,True
957,1914,508.498,1,1912.0,0.016219366,0.001,0.002,3PT,True,3PT,True
958,1916,509.031,1,,,0.001,0.002,2PT,False,2PT,False
961,1922,510.638,1,1920.0,0.007625254,0.001,0.002,3PT,True,3PT,True
963,1926,511.7,1,,,0.001,0.002,2PT,False,2PT,False
964,1928,512.23,1,,,0.001,0.002,2PT,False,2PT,False
989,1978,525.5,2,,,0.002,0.002,3PT,True,3PT,True
1022,2044,543.03,1,,,,,unknown,False,unknown,False
1083,2166,575.444,2,2168.0,0.007689543,0.001,0.004,3PT,True,3PT,True
1086,2172,577.041,2,,,0.001,0.004,3PT,True,3PT,True
