frame,type,result,dist,track_frames,max_jump,launch
68,3PT,MISS,150.6,20,89.9,"(212.0, 378.0)"
236,2PT,MISS,64.9,37,82.1,"(241.0, 507.0)"
467,2PT,MISS,126.7,40,54.1,"(273.0, 440.0)"
617,3PT,MISS,136.8,38,82.0,"(277.0, 429.0)"
1303,2PT,MISS,126.2,39,58.0,"(883.0, 474.0)"
1413,3PT,MISS,159.6,28,20.1,"(853.0, 502.0)"
1468,3PT,MISS,131.8,39,19.3,"(882.0, 500.0)"
1609,2PT,MISS,95.4,32,76.7,"(918.0, 437.0)"
1650,3PT,MISS,179.0,40,41.2,"(177.0, 346.0)"
1774,2PT,MISS,117.9,39,34.9,"(179.0, 407.0)"
2051,3PT,MISS,152.0,39,9.6,"(305.0, 439.0)"
2174,2PT,MISS,94.3,40,3.1,"(915.0, 475.0)"
2320,3PT,MISS,159.4,35,92.2,"(850.0, 475.0)"
