frame,make_miss,closest_px,anchor_px,origin_distance_ft,origin_lateral_ft,emergence_angle,emergence_dist_px,emergence_n_points,corridor_stability,anchor_confidence,origin_sector,nearest_basket,origin,scale,growth,width,turn,angle_var,decay,track_len,anchor_idx,overlay_path,thumb_path,mean_gap_len,max_gap_len,visibility_ratio,pre_anchor_visibility,post_anchor_visibility,n_valid,trajectory_certainty,detection_confidence,corridor_certainty,interp_growth,interp_width,interp_turn,interp_angle_var,interp_track_len,interp_n_segments,interp_mean_conf,interp_corridor_path,filter_pass,filter_reason,filter_n_valid,filter_d_anchor,filter_total_move,filter_approach,filter_consistency,filter_stationary_ratio,manual_label,manual_detail,filter_filter_pass
115,MISS,72.3,109.8,6.1,5.8,-8.7,31.3,3,0.31,0.11,paint,right,"(1013, 575)",17.9,22.073,14.63,0.961,0.544,0.55,25,15,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F0115_corridor.jpg,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F0115_thumb.jpg,5.0,13,0.139,0.0,0.143,5,0.01,0.5,0.005,2.897,48.54,0.946,0.483,9,3,0.728,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v37_interp/F0115_interp.jpg,False,weak_approach,5,109.8,467.4,1.9,0.5,0.0,no_shot,transition_play,
236,MISS,64.9,64.9,8.0,2.7,-169.2,90.6,4,0.94,0.47,midrange,left,"(330, 524)",18.9,21.552,16.82,0.608,0.842,0.05,33,13,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F0236_corridor.jpg,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F0236_thumb.jpg,2.8,9,0.167,0.25,0.129,6,0.017,0.5,0.009,-47.121,31.82,0.48,0.234,15,6,0.643,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v37_interp/F0236_interp.jpg,True,SHOT_CANDIDATE,6,64.9,715.9,90.6,0.6,0.2,no_shot,referee_handing_ball,True
467,MISS,101.9,126.7,7.6,2.7,151.5,13.8,4,1.0,0.5,midrange,left,"(285, 434)",18.5,0.339,2.2,0.879,0.655,0.65,18,10,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F0467_corridor.jpg,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F0467_thumb.jpg,1.2,5,0.639,0.0,0.719,23,0.106,0.5,0.053,1.895,25.21,1.479,0.699,28,3,0.918,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v37_interp/F0467_interp.jpg,False,moving_away,23,126.7,896.7,-38.1,0.5,0.455,no_shot,ft_lineup,
990,MAKE,51.0,78.7,7.3,6.1,-95.0,55.0,5,0.55,0.34,midrange,right,"(1048, 592)",18.1,3.604,22.36,1.239,0.54,0.8,16,11,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F0990_corridor.jpg,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F0990_thumb.jpg,2.5,3,0.083,0.0,0.091,3,0.021,0.5,0.011,96.933,9.96,0.048,0.007,6,3,0.758,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v37_interp/F0990_interp.jpg,False,too_sparse,3,78.7,490.8,273.7,1.0,0.0,no_shot,inbound_pass,
1283,MISS,135.8,173.4,9.7,2.5,167.7,39.7,8,0.8,0.8,midrange,right,"(887, 392)",14.7,0.0,6.48,1.039,0.732,0.95,21,19,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F1283_corridor.jpg,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F1283_thumb.jpg,2.1,10,0.444,0.0,0.485,16,0.04,0.5,0.02,11.56,36.81,1.164,0.692,32,10,0.625,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v37_interp/F1283_interp.jpg,True,SHOT_CANDIDATE,16,173.4,1390.3,40.3,0.8,0.0,no_shot,ft_lineup,True
1413,MISS,159.6,159.6,9.1,4.0,30.7,13.2,3,1.0,0.37,midrange,right,"(842, 495)",18.5,0.339,13.71,1.061,0.577,0.8,16,11,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F1413_corridor.jpg,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F1413_thumb.jpg,1.1,2,0.278,0.0,0.303,10,0.093,0.5,0.046,-6.157,33.87,1.45,0.726,11,1,0.888,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v37_interp/F1413_interp.jpg,False,moving_away,10,159.6,510.3,-114.8,0.444,0.222,no_shot,ft_lineup,
1468,MISS,116.0,131.8,7.1,3.6,143.1,0.6,14,0.19,0.19,midrange,right,"(882, 500)",18.5,0.32,3.83,1.122,0.892,0.65,34,26,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F1468_corridor.jpg,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F1468_thumb.jpg,2.2,5,0.139,0.0,0.161,5,0.023,0.5,0.011,15.46,12.19,1.019,0.64,10,4,0.67,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v37_interp/F1468_interp.jpg,False,weak_approach,5,131.8,387.3,7.6,0.5,0.0,no_shot,ft_lineup,
1650,MISS,75.3,179.0,13.9,13.6,20.0,133.4,4,0.88,0.44,ft_range,left,"(52, 300)",18.6,0.73,34.09,0.821,0.468,0.75,23,17,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F1650_corridor.jpg,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F1650_thumb.jpg,3.5,8,0.194,0.75,0.129,7,0.022,0.5,0.011,11.278,32.31,0.542,0.701,22,9,0.585,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v37_interp/F1650_interp.jpg,True,SHOT_CANDIDATE,7,179.0,1006.0,89.1,0.333,0.0,no_shot,dribbling_top,True
1780,MISS,128.3,134.5,9.2,9.1,19.2,97.3,8,0.44,0.44,midrange,left,"(155, 377)",16.3,2.426,18.48,0.888,0.352,-0.05,29,7,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F1780_corridor.jpg,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F1780_thumb.jpg,2.8,6,0.194,0.2,0.2,7,0.028,0.5,0.014,60.509,65.17,0.656,0.8,18,7,0.613,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v37_interp/F1780_interp.jpg,False,moving_away,7,134.5,1212.9,-25.6,0.667,0.167,no_shot,steal_attempt_midcourt,
2320,MISS,103.6,159.4,7.7,2.7,-176.2,19.7,5,0.13,0.08,midrange,right,"(869, 476)",18.1,1.953,18.33,1.253,0.762,0.75,14,8,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F2320_corridor.jpg,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v35/F2320_thumb.jpg,4.5,7,0.083,0.0,0.091,3,0.01,0.5,0.005,35.668,5.18,0.039,0.008,10,5,0.605,/home/monk-admin/PROJECTS/liberty-basketball-analysis/pipeline_output/audit_v37_interp/F2320_interp.jpg,False,too_sparse,3,159.4,367.7,160.8,1.0,0.0,shot,layup,
