frame,n_valid,anchor_dist,basket_x,basket_y,approach,total_movement,mean_speed,stationary_ratio,direction_consistency,rim_convergence,proximity_decay,terminates_in_hoop,basket_engagement,height_score,possession_score,path_straightness,is_shot,filter_reason,mono_score,vertical_score,correct_half,is_shot_v42,v42_reason,manual_shot,manual_detail,mono_correlation,decrease_ratio,aspect_ratio,min_dist,terminal_hoop,rim_score
16,2,184.1,179.0,525.0,-272.2,451.5,26.56,0.0,0.5,-272.24,0.0,False,0.0,0.523,0.1,1.0,False,too_few,0.0,0.0,False,False,too_few,?,?,,,,,,
61,4,150.6,179.0,525.0,242.3,803.2,61.73,0.0,0.325,127.57,1.0,False,0.5,0.487,0.1,0.597,True,score=4.5,0.484,0.055,True,False,score=3.5,no,transition_backcourt,-0.484,0.667,17.188,150.6,False,3.5
120,6,97.4,1009.0,466.0,-35.5,751.8,45.79,0.0,0.157,-9.26,0.5,False,0.2,0.233,0.1,0.303,False,moving_away,0.0,0.426,True,False,score=3.5,?,?,0.323,0.4,1.35,97.4,False,3.5
182,6,244.2,1009.0,466.0,165.5,745.5,31.6,0.0,0.187,40.98,0.5,False,0.25,0.462,0.1,0.46,True,score=4.0,0.706,0.492,True,False,score=3.0,weak,unclear_paint,-0.706,0.6,1.035,244.2,False,3.0
223,6,34.1,179.0,525.0,398.7,715.9,58.35,0.2,0.572,116.19,1.0,True,1.0,0.374,0.1,0.906,True,score=8.5,0.991,0.179,True,True,score=9.0,no,dead_ball,-0.991,0.8,4.58,34.1,True,9.0
258,2,250.7,179.0,525.0,-1.5,33.3,33.27,0.0,0.5,-1.52,0.0,False,0.0,0.614,0.1,1.0,False,too_few,0.0,0.0,False,False,too_few,?,?,,,,,,
495,30,242.6,1009.0,466.0,-15.2,1179.8,39.61,0.31,0.173,1.21,0.5,False,0.0,0.356,0.1,0.037,False,score=1.5,0.042,0.313,True,False,score=1.0,?,?,-0.042,0.517,2.192,242.6,False,1.0
531,29,291.1,179.0,525.0,18.8,437.4,14.61,0.607,0.136,1.13,0.714,False,0.25,0.37,0.5,0.074,False,score=-0.2,0.626,0.384,True,False,score=2.0,?,?,-0.626,0.607,1.604,291.1,False,2.0
582,16,221.4,1009.0,466.0,51.0,338.2,22.55,0.667,0.315,19.25,0.857,False,0.5,0.394,0.1,0.856,True,score=3.0,0.605,0.162,True,False,score=3.0,yes,putback_interior,-0.605,0.6,5.164,221.4,False,3.0
617,3,136.8,179.0,525.0,98.7,727.4,100.73,0.0,0.092,-51.36,0.0,False,0.0,0.495,0.1,0.179,True,score=4.0,0.5,0.219,True,False,score=4.0,yes,jump_shot_wing,0.0,0.5,3.575,136.8,False,4.0
647,11,257.5,1009.0,466.0,-52.3,1001.5,73.9,0.1,0.454,-4.23,0.6,False,0.25,0.397,0.1,0.123,False,moving_away,0.0,0.271,True,False,score=1.0,?,?,0.246,0.6,2.687,257.5,False,1.0
790,10,167.8,1009.0,466.0,11.0,1431.8,127.36,0.0,0.181,-8.1,0.5,False,0.0,0.371,0.1,0.162,False,score=2.5,0.126,0.424,True,False,score=2.5,?,?,-0.126,0.556,1.361,167.8,False,2.5
850,3,209.0,1009.0,466.0,-67.3,512.4,53.39,0.0,0.99,-77.4,0.0,False,0.0,0.575,0.1,0.99,False,moving_away,0.5,0.158,True,False,score=2.0,?,?,0.0,0.5,5.337,209.0,False,2.0
934,3,191.3,179.0,525.0,133.4,325.6,12.92,0.5,0.188,134.74,1.0,False,0.5,0.445,0.5,0.984,True,score=3.8,0.5,0.077,True,False,score=2.0,no,dribble_midcourt,0.0,0.5,11.965,191.3,False,2.0
988,3,78.7,1009.0,466.0,324.6,490.8,99.05,0.0,0.993,183.13,1.0,True,1.0,0.328,0.1,0.993,True,score=9.0,0.5,0.167,True,True,score=8.0,no,inbound_transition,0.0,1.0,5.003,78.7,True,8.0
1073,5,215.1,1009.0,466.0,49.3,1247.3,298.99,0.0,0.213,79.46,0.5,False,0.25,0.343,0.1,0.255,True,score=3.0,0.524,0.288,True,False,score=3.0,no,ft_setup,-0.524,0.5,2.467,215.1,False,3.0
1292,17,126.2,1009.0,466.0,85.0,1752.1,83.31,0.0,0.425,22.05,0.875,False,0.5,0.416,0.1,0.203,True,score=4.5,0.443,0.218,True,False,score=4.0,no,ft_lineup,-0.443,0.75,3.578,126.2,False,4.0
1366,5,126.9,1009.0,466.0,-213.7,610.4,20.64,0.25,0.254,-104.49,1.0,False,0.25,0.386,0.1,0.688,False,moving_away,0.0,0.005,True,False,score=3.0,?,?,0.914,0.5,217.994,126.9,False,3.0
1421,11,159.6,1009.0,466.0,-104.4,573.2,46.31,0.3,0.134,-2.47,0.6,False,0.25,0.349,0.1,0.121,False,moving_away,0.0,0.332,True,False,score=2.5,?,?,0.302,0.5,2.013,159.6,False,2.5
1459,6,131.8,1009.0,466.0,7.2,420.2,69.96,0.2,0.154,24.04,0.5,False,0.25,0.359,0.1,0.303,False,score=2.0,0.079,0.262,True,False,score=3.0,?,?,-0.079,0.4,2.817,131.8,False,3.0
1547,7,228.3,1009.0,466.0,-110.2,795.8,74.33,0.167,0.38,16.06,1.0,False,0.5,0.452,0.1,0.123,False,moving_away,0.0,0.121,True,False,score=1.0,?,?,0.23,0.833,7.247,228.3,False,1.0
1618,15,95.4,1009.0,466.0,-80.7,1902.8,89.64,0.0,0.24,-16.4,0.429,False,0.2,0.47,0.1,0.122,False,moving_away,0.0,0.242,True,False,score=3.5,?,?,0.461,0.357,3.125,95.4,False,3.5
1671,11,230.5,179.0,525.0,-65.1,1015.8,80.38,0.2,0.329,-12.02,0.4,False,0.0,0.412,0.1,0.182,False,moving_away,0.0,0.275,True,False,score=1.0,?,?,0.356,0.4,2.633,230.5,False,1.0
1712,4,223.1,1009.0,466.0,-169.5,1055.2,48.35,0.333,0.352,36.5,1.0,False,0.5,0.522,0.1,0.165,False,moving_away,0.055,0.132,True,False,score=1.0,?,?,-0.055,0.667,6.587,223.1,False,1.0
1764,10,117.9,179.0,525.0,453.1,1890.2,78.31,0.222,0.091,59.6,0.75,False,0.5,0.505,0.1,0.306,True,score=4.5,0.768,0.207,True,True,score=5.0,no,wrong_half_transition,-0.768,0.556,3.828,117.9,False,5.0
1874,2,287.7,179.0,525.0,2.3,2.8,2.77,1.0,0.5,2.29,0.0,False,0.25,0.3,0.8,1.0,False,too_few,0.0,0.0,False,False,too_few,?,?,,,,,,
1988,2,181.9,1009.0,466.0,-58.5,323.9,17.99,0.0,0.5,-58.46,0.0,False,0.0,0.523,0.1,1.0,False,too_few,0.0,0.0,False,False,too_few,?,?,,,,,,
2064,25,152.0,179.0,525.0,5.6,1298.5,37.45,0.542,0.198,-5.34,0.583,False,0.25,0.364,0.1,0.1,False,score=1.5,0.0,0.246,True,False,score=2.5,?,?,0.169,0.667,3.073,152.0,False,2.5
2184,31,94.3,1009.0,466.0,-87.1,2010.3,61.08,0.267,0.068,-4.13,0.6,False,0.45,0.396,0.1,0.066,False,moving_away,0.0,0.271,True,False,score=3.5,?,?,0.59,0.5,2.695,94.3,False,3.5
2303,4,159.4,1009.0,466.0,471.8,658.0,37.33,0.0,0.992,216.34,1.0,False,0.5,0.42,0.1,0.992,True,score=6.0,0.999,0.183,True,False,score=4.5,weak,perimeter_circulation,-0.999,1.0,4.471,159.4,False,4.5
2371,5,194.0,179.0,525.0,12.2,908.5,30.23,0.0,0.191,15.9,0.5,False,0.25,0.477,0.1,0.175,False,score=2.5,0.221,0.235,True,False,score=1.0,?,?,-0.221,0.5,3.257,194.0,False,1.0
2441,23,65.4,1009.0,466.0,-93.4,1071.1,31.83,0.455,0.155,0.1,0.636,False,0.45,0.375,0.1,0.003,False,moving_away,0.0,0.246,True,True,score=5.0,?,?,0.61,0.636,3.062,65.4,False,5.0
2505,2,253.7,1009.0,466.0,-6.5,30.2,5.04,0.0,0.5,-6.48,0.0,False,0.0,0.409,0.1,1.0,False,too_few,0.0,0.0,False,False,too_few,?,?,,,,,,
2566,14,280.3,1009.0,466.0,-39.7,578.6,38.22,0.308,0.354,-4.88,0.5,False,0.0,0.436,0.1,0.158,False,moving_away,0.0,0.45,True,False,score=0.0,?,?,0.409,0.538,1.22,280.3,False,0.0
2631,7,177.9,1009.0,466.0,-153.2,804.6,63.99,0.0,0.834,-49.23,0.0,False,0.0,0.509,0.1,0.919,False,moving_away,0.0,0.26,True,False,score=2.5,?,?,0.827,0.5,2.846,177.9,False,2.5
2701,2,279.9,179.0,525.0,213.0,224.3,224.26,0.0,0.5,212.95,0.0,False,0.25,0.43,0.1,1.0,False,too_few,0.0,0.0,False,False,too_few,?,?,,,,,,
