frame,bx,by,dist,type,result,shooter,conf
70,389.529541015625,211.7742919921875,235.4,3PT,MISS,71.9,0.222
130,138.0187530517578,322.90740966796875,274.3,3PT,MISS,91.1,0.381
260,249.702392578125,188.36080932617188,140.4,2PT,MISS,61.8,0.588
685,490.85394287109375,221.91107177734375,232.0,3PT,MISS,123.2,0.394
825,309.64581298828125,212.82427978515625,198.4,3PT,MISS,89.9,0.524
930,407.92724609375,308.4198913574219,277.8,2PT,MISS,56.6,0.437
1010,216.95614624023438,302.871826171875,318.3,3PT,MISS,100.2,0.112
1410,366.2575378417969,303.8998107910156,304.8,3PT,MISS,88.4,0.276
1590,343.8112487792969,186.39208984375,232.5,2PT,MISS,4.0,0.731
1650,219.54376220703125,257.7576599121094,138.7,2PT,MISS,5.6,0.595
1945,246.49981689453125,198.6773681640625,140.7,3PT,MISS,116.4,0.231
2050,165.4896240234375,256.3154602050781,236.3,3PT,MISS,73.5,0.142
2305,280.51910400390625,290.43695068359375,257.4,3PT,MISS,67.4,0.253
2375,361.4677429199219,194.14898681640625,261.3,3PT,MISS,182.7,0.367
2620,268.2947082519531,163.3697967529297,143.0,3PT,MISS,104.1,0.44
