frame,bx,by,dist,conf,hoop_dist,result,shooter_dist_ft,type
70,389.529541015625,211.7742919921875,235.4,0.222,9999.0,MISS,24.2,3PT
130,138.0187530517578,322.90740966796875,274.3,0.381,9999.0,MISS,31.5,3PT
260,249.702392578125,188.36080932617188,140.4,0.588,9999.0,MISS,10.4,2PT
525,510.3098449707031,256.0186462402344,393.8,0.183,296.5,MISS,28.4,3PT
685,490.85394287109375,221.91107177734372,232.0,0.394,61.0,MISS,27.3,3PT
825,309.64581298828125,212.82427978515625,198.4,0.524,68.1,MISS,30.7,3PT
930,407.92724609375,308.4198913574219,277.8,0.437,330.1,MISS,31.0,3PT
1010,216.9561462402344,302.871826171875,318.3,0.112,940.7,MISS,28.4,3PT
1130,236.9354248046875,285.3577880859375,372.0,0.278,703.0,MISS,26.4,3PT
1410,366.2575378417969,303.8998107910156,304.8,0.276,152.3,MISS,28.7,3PT
1590,343.8112487792969,186.39208984375,232.5,0.731,9999.0,MISS,9.9,2PT
1650,219.54376220703125,257.7576599121094,138.7,0.595,9999.0,MISS,20.0,3PT
1710,445.964599609375,352.14874267578125,381.9,0.221,9999.0,MISS,32.0,3PT
1945,246.49981689453125,198.6773681640625,140.7,0.231,9999.0,MISS,38.8,3PT
2050,165.4896240234375,256.3154602050781,236.3,0.142,647.4,MISS,29.1,3PT
2305,280.51910400390625,290.4369506835937,257.4,0.253,9999.0,MISS,29.3,3PT
2375,361.4677429199219,194.14898681640625,261.3,0.367,9999.0,MISS,26.4,3PT
2620,268.2947082519531,163.3697967529297,143.0,0.44,9999.0,MISS,39.5,3PT
