frame,side,score,elbow_angle,arm_height,wrist_dy,player_x,player_y
8,right,0.7,98.0,81.96,-0.0568,0.413,0.552
74,left,0.6,122.0,2.6,-0.0628,0.112,0.742
142,left,0.5,159.0,-9.49,-0.1179,0.437,0.397
284,right,0.9,179.0,6.48,-0.1138,0.253,0.697
340,left,0.9,175.0,84.32,-0.3741,0.641,0.556
418,left,0.9,180.0,475.9,-0.3183,0.665,0.627
458,left,0.5,13.0,65.22,-0.1586,0.282,0.763
494,right,0.45,128.0,15.75,-0.0151,0.56,0.516
542,left,0.9,166.0,802.6,-0.2734,0.188,0.811
656,left,0.5,89.0,70.19,-0.0337,0.401,0.395
706,left,0.7,162.0,33.97,-0.0474,0.245,0.932
752,right,0.9,180.0,163.98,-0.1453,0.499,0.566
846,left,0.9,169.0,123.02,-0.1863,0.539,0.566
912,right,0.5,19.0,22.08,-0.0798,0.68,0.687
990,left,0.7,166.0,21.99,-0.0958,0.757,0.69
1052,left,0.4,179.0,62.1,0.0037,0.357,0.76
1142,right,0.7,177.0,1.47,-0.0315,0.594,0.601
1220,left,0.7,173.0,2.31,-0.0321,0.554,0.545
1306,left,0.7,179.0,5.19,-0.0305,0.695,0.559
1392,right,0.75,174.0,80.64,-0.0189,0.706,0.88
1464,right,0.7,177.0,-20.73,-0.1727,0.861,0.678
1502,left,0.5,112.0,28.4,-0.0465,0.392,0.559
1550,right,0.7,154.0,33.82,-0.2129,0.536,0.697
1578,left,0.7,153.0,11.5,-0.1459,0.284,0.612
1628,left,0.55,169.0,14.64,-0.0178,0.197,0.656
1648,left,0.9,178.0,3.96,-0.165,0.423,0.546
1768,left,0.9,169.0,1.94,-0.082,0.375,0.615
1896,left,0.9,166.0,13.66,-0.1379,0.507,0.786
1952,left,0.5,131.0,60.86,0.003,0.238,0.312
1980,left,0.4,160.0,-9.41,0.0825,0.362,0.371
2028,left,0.4,176.0,8.14,0.0501,0.482,0.652
2064,right,0.6,152.0,30.49,0.0012,0.574,0.605
2172,right,0.9,163.0,147.62,-0.0562,0.273,0.806
2244,left,0.9,175.0,124.27,-0.3984,0.41,0.615
2326,right,0.7,170.0,3.55,-0.0657,0.49,0.806
2402,left,0.9,159.0,67.39,-0.191,0.205,0.769
2448,left,0.45,143.0,14.82,-0.016,0.39,0.515
2498,right,0.4,155.0,7.15,0.0176,0.663,0.646
2596,right,0.7,168.0,4.23,-0.0341,0.717,0.842
2630,right,0.5,17.0,1.58,-0.0693,0.412,0.542
